show_id,titulo,tipo,plataforma,director,elenco,pais,fecha_agregado,anio_lanzamiento,clasificacion,duracion,genero,descripcion,puntaje
prime_s7634,Death and Compromise,TV Show,Prime Video,,"Brian Elder, Andrea Flowers, John Hall",,,2021,16+,1.0,TV Shows,"In a small Texas town, outlaws Luke Young and Lem Sinclair make enemies with a ruthless deputy. The deputy frames the two for murder and sends the sheriff after them. As the rope of justice tightens around their necks, the duo must decide how fare they are willing to go to survive even when the odds are stacked against them.",
prime_s6004,Prem Qaidi,Movie,Prime Video,K. Muralimohana Rao,"Karisma Kapoor, Harish, Paresh Rawal, Asrani, Dalip Tahil, Rama Vij, Shafi Inamdar, Bharat Bhushan, Anjana Mumtaz, J.D. Chakravarthy, Harish Patel, Narsing Yadav, Ali",India,,1991,13+,157.0,Action,"A teenage couple fall in love, but their relationship is opposed by the girl's father because the boy is not from a wealthy family.",
netflix_s5073,Step Sisters,Movie,Netflix,Charles Stone III,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith, Gage Golightly, Matt McGorry, Marque Richardson, Alessandra Torresani, Naturi Naughton, Nia Jervier, Robert Curtis Brown",United States,2018-01-19,2018,PG-13,108.0,Comedies,"With her Harvard Law dreams on the line, a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship.",
prime_s3353,Afsos,TV Show,Prime Video,,"Gulshan Devaiah, Anjali Patil, Heeba Shah, Robin Das",,,2020,16+,1.0,Action,A suicidal man and a deadly assassin encounter the world of immortality in this black comedy suspense thriller.,
netflix_s625,Prime Time,Movie,Netflix,Jakub Piątek,"Bartosz Bielenia, Magdalena Popławska, Andrzej Kłak, Małgorzata Hajewska, Dobromir Dymecki, Monika Frajczyk, Cezary Kosiński, Adam Nawojczyk, Juliusz Chrząstowski",,2021-06-30,2021,TV-MA,92.0,Dramas,"On New Year’s Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.",
netflix_s867,Small Town Crime,Movie,Netflix,"Eshom Nelms, Ian Nelms","John Hawkes, Anthony Anderson, Octavia Spencer, Robert Forster, Clifton Collins Jr., Jeremy Ratchford, James Lafferty, Michael Vartan, Daniel Sunjata, Don Harvey, Stefanie Scott, Caity Lotz, Dale Dickey",United States,2021-05-19,2017,R,92.0,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path.",
netflix_s4339,Don't Go Breaking My Heart 2,Movie,Netflix,Johnnie To,"Louis Koo, Gao Yuanyuan, Miriam Chin Wah Yeung, Vic Chou, Daniel Wu",Hong Kong,2018-12-01,2014,TV-14,113.0,Comedies,"Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise.",
prime_s6516,The Last Movie,Movie,Prime Video,Bruce Pittman,"Beth Gondek, Nataliya Alyexeyenko, Lawrence Bayne, Dawna Wright, Dwight McFee, Aubrey Ives, August Schellenberg, Robert Gulassarian, Vladimir Belov, Larysa Bajus, Laura Rowley, Sarah Higgins, Elissa Mielke, Shiya Zhao, Courtney Lamanna, Dayna Moritz",,,2012,13+,103.0,Arthouse,"Producer has acquired the remake rights to a Russian ""noir"" movie. He has also acquired the services of writer-director to translate the Russian version into an updated thriller. Ultimately an actress is cast in the part. A madness ensues that turns the making of the remake into a suspense thriller in and of itself.",
prime_s9327,Gli Onorevoli,Movie,Prime Video,Sergio Corbucci,"Peppino De Filippo, Totò",Italy,,1963,13+,99.0,Comedy,"A series of candidates for the Chamber encounters difficulties during the electoral campaign: the Christian Democrat Bianca Sereni (Franca Valeri) falls in love with the photographer who wants to discredit her, Senator Rossani Breschi (Gino Cervi) is forced to stop his rally because of a gang of children, the monarchist Antonio La Trippa (Totò) torments the condominiums with endless speeches ...",
hbomax_ts20926,Lois & Clark: The New Adventures of Superman,TV Show,HBO Max,,"Dean Cain, Teri Hatcher, Lane Smith, Justin Whalin",US,1993-01-01,1993,TV-PG,4.0,drama,"A much more lavish version of the popular Superman television series which had first aired forty years earlier, Lois & Clark focused more on the Man of Steel's early adult years in Metropolis. With the unknowing help of Lois Lane, Clark Kent created Superman there in Metropolis after finding work at the world-famous Daily Planet newspaper, where he meets fellow reporter Lois Lane.",6.7
prime_s2474,Finding Grace,Movie,Prime Video,Warren Fast,"Erin Gray, Paris Warner, Jasen Wade, Kisha Sharon Oglesby, David Keith",,,2020,13+,112.0,Drama,"A troubled teenage girl's life is turned upside down when she is forced to provide community service in a retirement home. As she develops a close friendship with one of the residents, she learns that giving is greater than receiving and she is forever changed when she discovers the power of family, hope, and faith through the strength of her devoted single father.",
netflix_s5029,Mute,Movie,Netflix,Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux",United Kingdom,2018-02-23,2018,TV-MA,127.0,Sci-Fi & Fantasy,"When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words.",
prime_s3018,Blue Thunder,Movie,Prime Video,John Badham,"Roy Scheider, Warren Oates, Candy Clark, Daniel Stern, Malcolm McDowell, Anthony James, James Read, Joe Santos",,,1983,R,109.0,Action,The cop test pilot for an experimental police helicopter learns the sinister implications of the new vehicle.,
prime_s7686,God Raiga Vs King Ohga,Movie,Prime Video,Shinpei Hayashiya,,,,2021,16+,84.0,Science Fiction,"The giant monster Raiga returns, rising in Atami Harbor. A second kaiju, Ohga, soon joins the chaos, and the two monsters clash, destroying the city. Defense forces launch two new weapons, the giant tank Kamikaze and the drill tank Gokumei, to meet the monster invasion head on. But as the beasts work their way to Tokyo, will they be enough to stop them from laying waste to the city'",
